taxonomy,word
remember,Choose
remember,Define
remember,Find
remember,How
remember,Label
remember,List
remember,Match
remember,Name
remember,Omit
remember,Recall
remember,Relate
remember,Select
remember,Show
remember,Spell
remember,Tell
remember,What
remember,When
remember,Where
remember,Which
remember,Who
remember,Why
remember,Identify
remember,Recognize
understand,Retriew
understand,Classify
understand,Compare
understand,Contrast
understand,Demonstrate
understand,Interpret
understand,Exemplify
understand,Explain
understand,Extend
understand,Infer
understand,Outline
understand,Relate
understand,Rephrase
understand,Show
understand,Summarize
understand,clarrify
understand,taraphrase
understand,represent
understand,translate
understand,illustrate
understand,instantiate
understand,categorize
understand,subsume
understand,abstract
understand,generalize
understand,conclude
understand,extrapolate
understand,interpolate
understand,predict
understand,map
understand,match
understand,models
apply,construct
apply,Apply
apply,Build
apply,Choose
apply,Construct
apply,Develop
apply,Experiment with
apply,Identify
apply,Make use of
apply,Model
apply,Organize
apply,Plan
apply,Select
apply,Solve
apply,Utilize
apply,Execute
apply,implement
apply,use
analyze,carrying out
analyze,Analyze
analyze,Assume
analyze,Categorize
analyze,Classify
analyze,Compare
analyze,Conclusion
analyze,Contrast
analyze,Discover
analyze,Dissect
analyze,Distinguish
analyze,Divide
analyze,Examine
analyze,Function
analyze,Inference
analyze,Inspect
analyze,List
analyze,Motive
analyze,Relationships
analyze,Simplify
analyze,Survey
analyze,Take part in
analyze,Test for
analyze,Theme
analyze,differentiate
analyze,organize
analyze,attribute
analyze,discrimination
analyze,distingush
analyze,focus
analyze,select
analyze,find
analyze,coherence
analyze,integrate
analyze,outline
analyze,parse
analyze,struct
evaluate,deconstruct
evaluate,Agree
evaluate,Appraise
evaluate,Assess
evaluate,Award
evaluate,Choose
evaluate,Compare
evaluate,Conclude
evaluate,Criteria
evaluate,Criticize
evaluate,Decide
evaluate,Deduct
evaluate,Defend
evaluate,Determine
evaluate,Disprove
evaluate,Estimate
evaluate,Evaluate
evaluate,Explain
evaluate,Importance
evaluate,Influence
evaluate,Interpret
evaluate,Judge
evaluate,Justify
evaluate,Mark
evaluate,Measure
evaluate,Opinion
evaluate,Perceive
evaluate,Prioritize
evaluate,Prove
evaluate,Rate
evaluate,Recommend
evaluate,Rule on
evaluate,Select
evaluate,Support
evaluate,Value
evaluate,Checking
evaluate,critique
evaluate,cordinate
evaluate,detect
evaluate,monitor
creating,test
creating,Abstract
creating,Adapt
creating,Animate
creating,Build
creating,Change
creating,Choose
creating,Combine
creating,Compile
creating,Compose
creating,Construct
creating,Create
creating,Delete
creating,Design
creating,Develop
creating,Discuss
creating,Elaborate
creating,Estimate
creating,Formulate
creating,Happen
creating,Imagine
creating,Improve
creating,Invent
creating,Make up
creating,Maximize
creating,Minimize
creating,Modify
creating,Original
creating,Originate
creating,Plan
creating,Predict
creating,Propose
creating,Solution
creating,Solve
creating,Suppose
creating,Test
creating,Theory
creating,Arrange
creating,Assemble
creating,Budget
creating,Categorize
creating,Code   
creating,Cope   
creating,Correspond
creating,Cultivate
creating,Debug
creating,Dictate  
creating,Enhance
creating,Explain
creating,Facilitate
creating,Format
creating,Generalize
creating,Generate
creating,Handle
creating,Import
creating,Incorporate   
creating,Integrate
creating,Interface
creating,Join
creating,Model
creating,Organize
creating,Outline   
creating,Prepare
creating,Prescribe 
creating,Produce
creating,Program
creating,Rearrange
creating,Reconstruct
creating,Relate
creating,Reorganize
creating,Revise
creating,Rewrite
creating,Specify
creating,Summarize
creating,hypeothesize
