tutorial_sheet,tutorial_question,key_verbs,Blooms_level_T,,,,,,,Practical_question,Blooms_level_P
DBMS_1,"Explain the advantages of using a database approach in comparison to the file- processing
system?
","Explain, Compare","Understanding, Applying, Analyzing, Evaluating",,,,,,,,
DBMS_1,"
Briefly explain each main step in the process of designing a DB for an application domain. ",Explain,"Understanding, Applying, Analyzing",,,,,,,,
DBMS_1,"
Consider the following requirements given in order to develop a database for the reservation
system.",Consider,Evaluating,,,,,,,,
DBMS_1,"
Draw an ER diagram considering the scenario above.","Draw, Consider","
Remembering, Evaluating,  Applying",,,,,,,,
DBMS_1,"
Consider the following requirements for a university database.",Consider,Evaluating,,,,,,,,
DBMS_2,"
Convert the following EER diagram to the relational model. ",Convert,Understanding,,,,,,,,
DBMS_2,"
State any assumptions that
you make.",State,Remembering,,,,,,,,
DBMS_3,"
Consider the relation X(A,B,C,) is",Consider,Evaluating,,,,,,,,
DBMS_3,Identify functional dependencies for Office relation.,Identify,"Remembering, Understanding",,,,,,,,
DBMS_3,Write down the candidate key(s). ,Write,"Applying, Creating",,,,,,,,
DBMS_3,Illustrate how you obtained the keys.,Illustrate,"Understanding, Applying, Analyzing",,,,,,,,
DBMS_3,Is the schema in BCNF? State reasons if not.,State,Remembering,,,,,,,,
DBMS_3,"If not, convert it to BCNF (ensure lossless join decomposition).",convert,Understanding,,,,,,,,
DBMS_4,Consider the following schema and write relational algebra statements to cater the given queries,"Consider, write","
Applying, Evaluating, Creating",,,,,,,,
DBMS_4,Create the Employee table Department tables with following constraints,Create,Creating,,,,,,,,
ICS_1,Draw a diagram showing the connection between the CPU and various devices and their access to memory.,Draw,Applying,,,,,,,,
ICS_1,Describe in brief about the von Neumann Architecture with the aid of a diagram.,Describe,"Remembering, Understanding",,,,,,,,
ICS_1,Explain in brief about the functions of each part listed in the von Neumann Architecture.,Explain,"Understanding, Applying, Analyzing",,,,,,,,
ICS_1,What are the basic data types available to represent data in computers?,What are ,"
Analyzing, Evaluating",,,,,,,,
